+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
| 1515 |                                 NCGC00370733-05                                 | SARS-CoV2 3CL Protease |     13.68     |
| 1516 |                                 NCGC00384842-01                                 | SARS-CoV2 3CL Protease |     13.70     |
| 1517 |                                 NCGC00378862-01                                 | SARS-CoV2 3CL Protease |     13.71     |
| 1518 |                                 NCGC00345082-02                                 | SARS-CoV2 3CL Protease |     13.71     |
| 1519 |                                 NCGC00476210-01                                 | SARS-CoV2 3CL Protease |     13.73     |
| 1520 |                                 NCGC00386837-01                                 | SARS-CoV2 3CL Protease |     13.75     |
| 1521 |                                 NCGC00346622-03                                 | SARS-CoV2 3CL Protease |     13.75     |
| 1522 |                                 NCGC00386373-01                                 | SARS-CoV2 3CL Protease |     13.75     |
| 1523 |                 NCGC00015718-12&NCGC00015718-24&NCGC00261626-01                 | SARS-CoV2 3CL Protease |     13.77     |
| 1524 |                                 NCGC00390090-01                                 | SARS-CoV2 3CL Protease |     13.77     |
| 1525 |                                 NCGC00346621-05                                 | SARS-CoV2 3CL Protease |     13.79     |
| 1526 |                                 NCGC00165865-03                                 | SARS-CoV2 3CL Protease |     13.79     |
| 1527 |                                 NCGC00509909-01                                 | SARS-CoV2 3CL Protease |     13.83     |
| 1528 |                                 NCGC00379008-02                                 | SARS-CoV2 3CL Protease |     13.85     |
| 1529 |                                 NCGC00378759-01                                 | SARS-CoV2 3CL Protease |     13.85     |
| 1530 |                                 NCGC00015619-10                                 | SARS-CoV2 3CL Protease |     13.86     |
| 1531 |                                 NCGC00390632-01                                 | SARS-CoV2 3CL Protease |     13.86     |
| 1532 |                         NCGC00167959-05&NCGC00167959-12                         | SARS-CoV2 3CL Protease |     13.90     |
| 1533 |                                 NCGC00510232-02                                 | SARS-CoV2 3CL Protease |     13.93     |
| 1534 |                                 NCGC00510073-01                                 | SARS-CoV2 3CL Protease |     13.93     |
| 1535 |                                 NCGC00246969-06                                 | SARS-CoV2 3CL Protease |     13.95     |
| 1536 |                                 NCGC00164385-06                                 | SARS-CoV2 3CL Protease |     13.97     |
| 1537 |                                 NCGC00164385-05                                 | SARS-CoV2 3CL Protease |     13.97     |
| 1538 |                                 NCGC00381190-01                                 | SARS-CoV2 3CL Protease |     14.00     |
| 1539 |                         NCGC00263216-02&NCGC00263216-09                         | SARS-CoV2 3CL Protease |     14.00     |
| 1540 |                 NCGC00015252-09&NCGC00015252-12&NCGC00015252-17                 | SARS-CoV2 3CL Protease |     14.02     |
| 1541 |                                 NCGC00378545-01                                 | SARS-CoV2 3CL Protease |     14.02     |
| 1542 |                                 NCGC00390390-01                                 | SARS-CoV2 3CL Protease |     14.04     |
| 1543 |                         NCGC00250412-08&NCGC00250412-15                         | SARS-CoV2 3CL Protease |     14.04     |
| 1544 |                                 NCGC00092361-06                                 | SARS-CoV2 3CL Protease |     14.04     |
| 1545 |                                 NCGC00387491-01                                 | SARS-CoV2 3CL Protease |     14.12     |
| 1546 |                                 NCGC00380436-01                                 | SARS-CoV2 3CL Protease |     14.13     |
| 1547 |                                 NCGC00485918-01                                 | SARS-CoV2 3CL Protease |     14.14     |
| 1548 |                                 NCGC00021666-04                                 | SARS-CoV2 3CL Protease |     14.15     |
| 1549 |                                 NCGC00408857-02                                 | SARS-CoV2 3CL Protease |     14.16     |
| 1550 |                                 NCGC00386010-01                                 | SARS-CoV2 3CL Protease |     14.16     |
| 1551 |                                 NCGC00402239-03                                 | SARS-CoV2 3CL Protease |     14.21     |
| 1552 |                                 NCGC00159351-05                                 | SARS-CoV2 3CL Protease |     14.21     |
| 1553 |                                 NCGC00142598-07                                 | SARS-CoV2 3CL Protease |     14.21     |
| 1554 |                                 NCGC00390218-01                                 | SARS-CoV2 3CL Protease |     14.22     |
| 1555 |                                 NCGC00015641-03                                 | SARS-CoV2 3CL Protease |     14.24     |
| 1556 |                                 NCGC00381107-01                                 | SARS-CoV2 3CL Protease |     14.29     |
| 1557 |                         NCGC00181773-05&NCGC00378576-02                         | SARS-CoV2 3CL Protease |     14.30     |
| 1558 |                                 NCGC00385875-01                                 | SARS-CoV2 3CL Protease |     14.32     |
| 1559 |                                 NCGC00380805-01                                 | SARS-CoV2 3CL Protease |     14.34     |
| 1560 |                                 NCGC00015581-09                                 | SARS-CoV2 3CL Protease |     14.35     |
| 1561 |                                 NCGC00179456-04                                 | SARS-CoV2 3CL Protease |     14.36     |
| 1562 |                         NCGC00015234-13&NCGC00015234-19                         | SARS-CoV2 3CL Protease |     14.37     |
| 1563 |                                 NCGC00378697-03                                 | SARS-CoV2 3CL Protease |     14.38     |
| 1564 |                                 NCGC00509936-02                                 | SARS-CoV2 3CL Protease |     14.38     |
| 1565 |                         NCGC00345852-02&NCGC00345852-03                         | SARS-CoV2 3CL Protease |     14.39     |
| 1566 |                         NCGC00018100-08&NCGC00018100-16                         | SARS-CoV2 3CL Protease |     14.39     |
| 1567 |                                 NCGC00386061-01                                 | SARS-CoV2 3CL Protease |     14.41     |
| 1568 |                                 NCGC00261871-01                                 | SARS-CoV2 3CL Protease |     14.41     |
| 1569 |                                 NCGC00385324-01                                 | SARS-CoV2 3CL Protease |     14.41     |
| 1570 |                         NCGC00346526-03&NCGC00346526-04                         | SARS-CoV2 3CL Protease |     14.42     |
| 1571 |                                 NCGC00384854-01                                 | SARS-CoV2 3CL Protease |     14.45     |
| 1572 |                                 NCGC00381448-01                                 | SARS-CoV2 3CL Protease |     14.47     |
| 1573 |                         NCGC00263598-06&NCGC00263598-10                         | SARS-CoV2 3CL Protease |     14.51     |
| 1574 |                                 NCGC00347814-02                                 | SARS-CoV2 3CL Protease |     14.52     |
| 1575 |                                 NCGC00021575-05                                 | SARS-CoV2 3CL Protease |     14.52     |
| 1576 |                                 NCGC00182995-01                                 | SARS-CoV2 3CL Protease |     14.54     |
| 1577 |                                 NCGC00385728-01                                 | SARS-CoV2 3CL Protease |     14.55     |
| 1578 |                                 NCGC00370705-03                                 | SARS-CoV2 3CL Protease |     14.57     |
| 1579 |                         NCGC00263107-02&NCGC00263107-03                         | SARS-CoV2 3CL Protease |     14.61     |
| 1580 |                                 NCGC00263936-02                                 | SARS-CoV2 3CL Protease |     14.62     |
| 1581 |                                 NCGC00346947-02                                 | SARS-CoV2 3CL Protease |     14.62     |
| 1582 |                                 NCGC00370969-01                                 | SARS-CoV2 3CL Protease |     14.64     |
| 1583 |                                 NCGC00371139-12                                 | SARS-CoV2 3CL Protease |     14.64     |
| 1584 |                                 NCGC00249918-01                                 | SARS-CoV2 3CL Protease |     14.66     |
| 1585 |                                 NCGC00378688-01                                 | SARS-CoV2 3CL Protease |     14.68     |
| 1586 |                                 NCGC00386669-01                                 | SARS-CoV2 3CL Protease |     14.68     |
| 1587 |                                 NCGC00347804-02                                 | SARS-CoV2 3CL Protease |     14.68     |
| 1588 |                                 NCGC00384998-01                                 | SARS-CoV2 3CL Protease |     14.71     |
| 1589 |                                 NCGC00386875-01                                 | SARS-CoV2 3CL Protease |     14.76     |
| 1590 |                                 NCGC00385706-01                                 | SARS-CoV2 3CL Protease |     14.82     |
| 1591 |                                 NCGC00091330-07                                 | SARS-CoV2 3CL Protease |     14.82     |
| 1592 |                         NCGC00142599-02&NCGC00142599-03                         | SARS-CoV2 3CL Protease |     14.83     |
| 1593 |                                 NCGC00501212-01                                 | SARS-CoV2 3CL Protease |     14.86     |
| 1594 |                                 NCGC00370878-01                                 | SARS-CoV2 3CL Protease |     14.90     |
| 1595 |                                 NCGC00386346-05                                 | SARS-CoV2 3CL Protease |     14.93     |
| 1596 |                                 NCGC00347620-02                                 | SARS-CoV2 3CL Protease |     14.96     |
| 1597 |                                 NCGC00159403-03                                 | SARS-CoV2 3CL Protease |     14.96     |
| 1598 |                                 NCGC00384673-01                                 | SARS-CoV2 3CL Protease |     14.98     |
| 1599 |                                 NCGC00379218-04                                 | SARS-CoV2 3CL Protease |     15.04     |
| 1600 |                                 NCGC00162445-05                                 | SARS-CoV2 3CL Protease |     15.04     |
| 1601 |                                 NCGC00384788-01                                 | SARS-CoV2 3CL Protease |     15.04     |
| 1602 |                         NCGC00015563-09&NCGC00015563-13                         | SARS-CoV2 3CL Protease |     15.06     |
| 1603 |                                 NCGC00389372-02                                 | SARS-CoV2 3CL Protease |     15.07     |
| 1604 |                                 NCGC00250405-15                                 | SARS-CoV2 3CL Protease |     15.07     |
| 1605 |                                 NCGC00015318-05                                 | SARS-CoV2 3CL Protease |     15.07     |
| 1606 |                                 NCGC00386413-01                                 | SARS-CoV2 3CL Protease |     15.08     |
| 1607 |                                 NCGC00387301-01                                 | SARS-CoV2 3CL Protease |     15.11     |
| 1608 |                                 NCGC00485922-01                                 | SARS-CoV2 3CL Protease |     15.12     |
| 1609 |                                 NCGC00378460-08                                 | SARS-CoV2 3CL Protease |     15.12     |
| 1610 |                                 NCGC00380581-01                                 | SARS-CoV2 3CL Protease |     15.13     |
| 1611 |                                 NCGC00386283-04                                 | SARS-CoV2 3CL Protease |     15.15     |
| 1612 |                                 NCGC00386491-01                                 | SARS-CoV2 3CL Protease |     15.16     |
| 1613 |                         NCGC00016107-09&NCGC00261529-01                         | SARS-CoV2 3CL Protease |     15.16     |
| 1614 |                 NCGC00015508-12&NCGC00015508-16&NCGC00015508-23                 | SARS-CoV2 3CL Protease |     15.17     |
| 1615 |                                 NCGC00015645-06                                 | SARS-CoV2 3CL Protease |     15.17     |
| 1616 |                         NCGC00250398-01&NCGC00250398-02                         | SARS-CoV2 3CL Protease |     15.17     |
| 1617 |                                 NCGC00378709-01                                 | SARS-CoV2 3CL Protease |     15.18     |
| 1618 |                                 NCGC00371039-08                                 | SARS-CoV2 3CL Protease |     15.19     |
| 1619 |                                 NCGC00160546-02                                 | SARS-CoV2 3CL Protease |     15.22     |
| 1620 |                                 NCGC00347909-06                                 | SARS-CoV2 3CL Protease |     15.23     |
| 1621 |                                 NCGC00380475-01                                 | SARS-CoV2 3CL Protease |     15.26     |
| 1622 |                                 NCGC00186027-01                                 | SARS-CoV2 3CL Protease |     15.26     |
| 1623 |                                 NCGC00344091-03                                 | SARS-CoV2 3CL Protease |     15.27     |
| 1624 |                                 NCGC00345843-02                                 | SARS-CoV2 3CL Protease |     15.27     |
| 1625 |                                 NCGC00015333-04                                 | SARS-CoV2 3CL Protease |     15.31     |
| 1626 |                                 NCGC00387856-01                                 | SARS-CoV2 3CL Protease |     15.31     |
| 1627 |                                 NCGC00402370-02                                 | SARS-CoV2 3CL Protease |     15.31     |
| 1628 |                                 NCGC00346637-05                                 | SARS-CoV2 3CL Protease |     15.31     |
| 1629 |                                 NCGC00380353-01                                 | SARS-CoV2 3CL Protease |     15.32     |
| 1630 |                                 NCGC00480774-04                                 | SARS-CoV2 3CL Protease |     15.34     |
| 1631 |                                 NCGC00371132-01                                 | SARS-CoV2 3CL Protease |     15.35     |
| 1632 |                                 NCGC00238454-10                                 | SARS-CoV2 3CL Protease |     15.35     |
| 1633 |                                 NCGC00380842-01                                 | SARS-CoV2 3CL Protease |     15.38     |
| 1634 |                                 NCGC00496839-01                                 | SARS-CoV2 3CL Protease |     15.42     |
| 1635 |                                 NCGC00387231-01                                 | SARS-CoV2 3CL Protease |     15.42     |
| 1636 |                         NCGC00167576-02&NCGC00186042-01                         | SARS-CoV2 3CL Protease |     15.44     |
| 1637 |                                 NCGC00510356-01                                 | SARS-CoV2 3CL Protease |     15.48     |
| 1638 |                                 NCGC00385487-01                                 | SARS-CoV2 3CL Protease |     15.49     |
| 1639 |                                 NCGC00378654-01                                 | SARS-CoV2 3CL Protease |     15.50     |
| 1640 |                                 NCGC00485972-01                                 | SARS-CoV2 3CL Protease |     15.53     |
| 1641 |                                 NCGC00163318-03                                 | SARS-CoV2 3CL Protease |     15.54     |
| 1642 |                                 NCGC00261867-01                                 | SARS-CoV2 3CL Protease |     15.54     |
| 1643 |                                 NCGC00263175-02                                 | SARS-CoV2 3CL Protease |     15.56     |
| 1644 |                                 NCGC00244536-03                                 | SARS-CoV2 3CL Protease |     15.56     |
| 1645 |                                 NCGC00378806-01                                 | SARS-CoV2 3CL Protease |     15.58     |
| 1646 |                                 NCGC00378972-01                                 | SARS-CoV2 3CL Protease |     15.59     |
| 1647 |                                 NCGC00346960-01                                 | SARS-CoV2 3CL Protease |     15.59     |
| 1648 |                                 NCGC00167499-02                                 | SARS-CoV2 3CL Protease |     15.62     |
| 1649 |                         NCGC00386289-03&NCGC00386289-08                         | SARS-CoV2 3CL Protease |     15.63     |
| 1650 |                                 NCGC00378772-01                                 | SARS-CoV2 3CL Protease |     15.63     |
| 1651 |                         NCGC00483168-01&NCGC00483168-02                         | SARS-CoV2 3CL Protease |     15.66     |
| 1652 |                                 NCGC00378586-01                                 | SARS-CoV2 3CL Protease |     15.66     |
| 1653 |                                 NCGC00381392-01                                 | SARS-CoV2 3CL Protease |     15.73     |
| 1654 |                                 NCGC00164548-02                                 | SARS-CoV2 3CL Protease |     15.75     |
| 1655 |                         NCGC00032387-07&NCGC00032387-14                         | SARS-CoV2 3CL Protease |     15.75     |
| 1656 |                                 NCGC00380920-01                                 | SARS-CoV2 3CL Protease |     15.76     |
| 1657 |                                 NCGC00385986-01                                 | SARS-CoV2 3CL Protease |     15.76     |
| 1658 |                                 NCGC00093633-03                                 | SARS-CoV2 3CL Protease |     15.80     |
| 1659 |                                 NCGC00181290-01                                 | SARS-CoV2 3CL Protease |     15.82     |
| 1660 |                                 NCGC00371145-02                                 | SARS-CoV2 3CL Protease |     15.82     |
| 1661 |                                 NCGC00183366-07                                 | SARS-CoV2 3CL Protease |     15.87     |
| 1662 |                                 NCGC00031503-02                                 | SARS-CoV2 3CL Protease |     15.87     |
| 1663 |                                 NCGC00179819-03                                 | SARS-CoV2 3CL Protease |     15.90     |
| 1664 |                                 NCGC00185998-01                                 | SARS-CoV2 3CL Protease |     15.90     |
| 1665 |                                 NCGC00532324-01                                 | SARS-CoV2 3CL Protease |     15.92     |
| 1666 |                         NCGC00510509-01&NCGC00510509-02                         | SARS-CoV2 3CL Protease |     15.98     |
| 1667 |                                 NCGC00018125-05                                 | SARS-CoV2 3CL Protease |     15.98     |
| 1668 |                                 NCGC00181019-01                                 | SARS-CoV2 3CL Protease |     16.01     |
| 1669 |                                 NCGC00386636-01                                 | SARS-CoV2 3CL Protease |     16.02     |
| 1670 |                                 NCGC00380418-01                                 | SARS-CoV2 3CL Protease |     16.05     |
| 1671 |                                 NCGC00162073-12                                 | SARS-CoV2 3CL Protease |     16.05     |
| 1672 |                                 NCGC00169695-02                                 | SARS-CoV2 3CL Protease |     16.05     |
| 1673 |                                 NCGC00015944-03                                 | SARS-CoV2 3CL Protease |     16.09     |
| 1674 |                                 NCGC00510233-01                                 | SARS-CoV2 3CL Protease |     16.09     |
| 1675 |                                 NCGC00188430-01                                 | SARS-CoV2 3CL Protease |     16.09     |
| 1676 |                                 NCGC00182971-01                                 | SARS-CoV2 3CL Protease |     16.11     |
| 1677 |                                 NCGC00485882-01                                 | SARS-CoV2 3CL Protease |     16.14     |
| 1678 |                 NCGC00016101-07&NCGC00016101-10&NCGC00016101-17                 | SARS-CoV2 3CL Protease |     16.16     |
| 1679 |                                 NCGC00370965-01                                 | SARS-CoV2 3CL Protease |     16.16     |
| 1680 |                                 NCGC00390574-01                                 | SARS-CoV2 3CL Protease |     16.16     |
| 1681 |                         NCGC00017326-05&NCGC00017332-06                         | SARS-CoV2 3CL Protease |     16.19     |
| 1682 |                                 NCGC00420882-01                                 | SARS-CoV2 3CL Protease |     16.21     |
| 1683 |                                 NCGC00350414-04                                 | SARS-CoV2 3CL Protease |     16.21     |
| 1684 |                                 NCGC00242478-04                                 | SARS-CoV2 3CL Protease |     16.22     |
| 1685 |                 NCGC00014711-11&NCGC00014711-14&NCGC00014711-15                 | SARS-CoV2 3CL Protease |     16.27     |
| 1686 |                                 NCGC00386592-01                                 | SARS-CoV2 3CL Protease |     16.27     |
| 1687 |                                 NCGC00025229-03                                 | SARS-CoV2 3CL Protease |     16.27     |
| 1688 |                                 NCGC00379236-08                                 | SARS-CoV2 3CL Protease |     16.30     |
| 1689 |                                 NCGC00262943-01                                 | SARS-CoV2 3CL Protease |     16.32     |
| 1690 |                                 NCGC00025325-03                                 | SARS-CoV2 3CL Protease |     16.33     |
| 1691 |                                 NCGC00370722-02                                 | SARS-CoV2 3CL Protease |     16.34     |
| 1692 |                                 NCGC00510160-03                                 | SARS-CoV2 3CL Protease |     16.37     |
| 1693 |         NCGC00263117-05&NCGC00263117-07&NCGC00263117-14&NCGC00263117-22         | SARS-CoV2 3CL Protease |     16.39     |
| 1694 |                                 NCGC00016435-06                                 | SARS-CoV2 3CL Protease |     16.40     |
| 1695 |                                 NCGC00370879-01                                 | SARS-CoV2 3CL Protease |     16.46     |
| 1696 |                         NCGC00480828-02&NCGC00480828-04                         | SARS-CoV2 3CL Protease |     16.47     |
| 1697 |                                 NCGC00260774-01                                 | SARS-CoV2 3CL Protease |     16.48     |
| 1698 |                         NCGC00090753-06&NCGC00090753-20                         | SARS-CoV2 3CL Protease |     16.48     |
| 1699 |                                 NCGC00386263-01                                 | SARS-CoV2 3CL Protease |     16.48     |
| 1700 |                                 NCGC00014702-17                                 | SARS-CoV2 3CL Protease |     16.51     |
| 1701 |                                 NCGC00380400-01                                 | SARS-CoV2 3CL Protease |     16.54     |
| 1702 |                         NCGC00015678-07&NCGC00015678-10                         | SARS-CoV2 3CL Protease |     16.55     |
| 1703 |                                 NCGC00385844-01                                 | SARS-CoV2 3CL Protease |     16.56     |
| 1704 |                                 NCGC00385958-01                                 | SARS-CoV2 3CL Protease |     16.58     |
| 1705 |                                 NCGC00346590-02                                 | SARS-CoV2 3CL Protease |     16.61     |
| 1706 |                                 NCGC00386481-01                                 | SARS-CoV2 3CL Protease |     16.64     |
| 1707 |                                 NCGC00390641-01                                 | SARS-CoV2 3CL Protease |     16.67     |
| 1708 |                                 NCGC00346572-02                                 | SARS-CoV2 3CL Protease |     16.67     |
| 1709 |                                 NCGC00380833-01                                 | SARS-CoV2 3CL Protease |     16.70     |
| 1710 |                                 NCGC00380438-01                                 | SARS-CoV2 3CL Protease |     16.71     |
| 1711 |                         NCGC00379065-03&NCGC00379065-05                         | SARS-CoV2 3CL Protease |     16.71     |
| 1712 |                                 NCGC00508704-02                                 | SARS-CoV2 3CL Protease |     16.71     |
| 1713 |                                 NCGC00384534-01                                 | SARS-CoV2 3CL Protease |     16.73     |
| 1714 |                                 NCGC00484057-01                                 | SARS-CoV2 3CL Protease |     16.74     |
| 1715 |                                 NCGC00381256-01                                 | SARS-CoV2 3CL Protease |     16.74     |
| 1716 |                                 NCGC00168746-02                                 | SARS-CoV2 3CL Protease |     16.75     |
| 1717 |                 NCGC00090797-12&NCGC00090797-15&NCGC00090797-28                 | SARS-CoV2 3CL Protease |     16.75     |
| 1718 |                                 NCGC00182982-01                                 | SARS-CoV2 3CL Protease |     16.76     |
| 1719 |                                 NCGC00167537-02                                 | SARS-CoV2 3CL Protease |     16.78     |
| 1720 |                                 NCGC00379184-02                                 | SARS-CoV2 3CL Protease |     16.79     |
| 1721 |                                 NCGC00378798-01                                 | SARS-CoV2 3CL Protease |     16.79     |
| 1722 |                                 NCGC00249922-01                                 | SARS-CoV2 3CL Protease |     16.79     |
| 1723 |                                 NCGC00024885-02                                 | SARS-CoV2 3CL Protease |     16.80     |
| 1724 |                                 NCGC00015709-04                                 | SARS-CoV2 3CL Protease |     16.81     |
| 1725 |                                 NCGC00381185-01                                 | SARS-CoV2 3CL Protease |     16.81     |
| 1726 |                                 NCGC00485043-01                                 | SARS-CoV2 3CL Protease |     16.83     |
| 1727 |                                 NCGC00261932-01                                 | SARS-CoV2 3CL Protease |     16.83     |
| 1728 |                                 NCGC00167523-03                                 | SARS-CoV2 3CL Protease |     16.85     |
| 1729 |                                 NCGC00385467-01                                 | SARS-CoV2 3CL Protease |     16.86     |
| 1730 |                                 NCGC00015353-04                                 | SARS-CoV2 3CL Protease |     16.88     |
| 1731 |                                 NCGC00380812-02                                 | SARS-CoV2 3CL Protease |     16.89     |
| 1732 |                                 NCGC00408826-01                                 | SARS-CoV2 3CL Protease |     16.89     |
| 1733 |                                 NCGC00016401-09                                 | SARS-CoV2 3CL Protease |     16.92     |
| 1734 |                                 NCGC00346835-01                                 | SARS-CoV2 3CL Protease |     16.94     |
| 1735 |                                 NCGC00347535-02                                 | SARS-CoV2 3CL Protease |     16.98     |
| 1736 |                                 NCGC00380620-01                                 | SARS-CoV2 3CL Protease |     16.99     |
| 1737 |                                 NCGC00014995-10                                 | SARS-CoV2 3CL Protease |     17.05     |
| 1738 |                         NCGC00160518-03&NCGC00160518-04                         | SARS-CoV2 3CL Protease |     17.06     |
| 1739 |                                 NCGC00385445-01                                 | SARS-CoV2 3CL Protease |     17.09     |
| 1740 |                                 NCGC00159541-03                                 | SARS-CoV2 3CL Protease |     17.16     |
| 1741 |                         NCGC00379255-03&NCGC00379255-06                         | SARS-CoV2 3CL Protease |     17.16     |
| 1742 |                                 NCGC00379183-01                                 | SARS-CoV2 3CL Protease |     17.18     |
| 1743 |                                 NCGC00485487-01                                 | SARS-CoV2 3CL Protease |     17.19     |
| 1744 |                                 NCGC00165869-22                                 | SARS-CoV2 3CL Protease |     17.21     |
| 1745 |                         NCGC00348110-01&NCGC00348110-02                         | SARS-CoV2 3CL Protease |     17.22     |
| 1746 |                                 NCGC00384852-02                                 | SARS-CoV2 3CL Protease |     17.22     |
| 1747 |                                 NCGC00167979-01                                 | SARS-CoV2 3CL Protease |     17.23     |
| 1748 |                                 NCGC00253577-01                                 | SARS-CoV2 3CL Protease |     17.24     |
| 1749 |                                 NCGC00507875-01                                 | SARS-CoV2 3CL Protease |     17.26     |
| 1750 |                                 NCGC00015001-04                                 | SARS-CoV2 3CL Protease |     17.37     |
| 1751 |                                 NCGC00482960-01                                 | SARS-CoV2 3CL Protease |     17.37     |
| 1752 |                         NCGC00386304-02&NCGC00386724-03                         | SARS-CoV2 3CL Protease |     17.41     |
| 1753 |                                 NCGC00408856-01                                 | SARS-CoV2 3CL Protease |     17.41     |
| 1754 |                         NCGC00386271-02&NCGC00386271-03                         | SARS-CoV2 3CL Protease |     17.42     |
| 1755 |                                 NCGC00387479-01                                 | SARS-CoV2 3CL Protease |     17.43     |
| 1756 |                                 NCGC00371012-01                                 | SARS-CoV2 3CL Protease |     17.48     |
| 1757 |                                 NCGC00180495-02                                 | SARS-CoV2 3CL Protease |     17.55     |
| 1758 |                                 NCGC00485908-01                                 | SARS-CoV2 3CL Protease |     17.60     |
| 1759 |                                 NCGC00509910-02                                 | SARS-CoV2 3CL Protease |     17.60     |
| 1760 |                         NCGC00166134-02&NCGC00166134-03                         | SARS-CoV2 3CL Protease |     17.61     |
| 1761 |                                 NCGC00485218-01                                 | SARS-CoV2 3CL Protease |     17.63     |
| 1762 |                         NCGC00345833-01&NCGC00345833-06                         | SARS-CoV2 3CL Protease |     17.65     |
| 1763 |                                 NCGC00386384-04                                 | SARS-CoV2 3CL Protease |     17.65     |
| 1764 |                                 NCGC00350413-05                                 | SARS-CoV2 3CL Protease |     17.65     |
| 1765 |                         NCGC00093846-04&NCGC00093846-07                         | SARS-CoV2 3CL Protease |     17.72     |
| 1766 |                                 NCGC00386906-01                                 | SARS-CoV2 3CL Protease |     17.73     |
| 1767 |                                 NCGC00507966-01                                 | SARS-CoV2 3CL Protease |     17.73     |
| 1768 |                         NCGC00402368-01&NCGC00402368-02                         | SARS-CoV2 3CL Protease |     17.73     |
| 1769 |                                 NCGC00387802-01                                 | SARS-CoV2 3CL Protease |     17.73     |
| 1770 |                                 NCGC00483117-01                                 | SARS-CoV2 3CL Protease |     17.73     |
| 1771 |                                 NCGC00380405-01                                 | SARS-CoV2 3CL Protease |     17.74     |
| 1772 |                 NCGC00178734-06&NCGC00178734-10&NCGC00178734-13                 | SARS-CoV2 3CL Protease |     17.74     |
| 1773 |                                 NCGC00378847-01                                 | SARS-CoV2 3CL Protease |     17.75     |
| 1774 |                                 NCGC00186005-01                                 | SARS-CoV2 3CL Protease |     17.82     |
| 1775 |                                 NCGC00380890-01                                 | SARS-CoV2 3CL Protease |     17.83     |
| 1776 |                                 NCGC00018166-02                                 | SARS-CoV2 3CL Protease |     17.84     |
| 1777 |                                 NCGC00263015-01                                 | SARS-CoV2 3CL Protease |     17.86     |
| 1778 |                                 NCGC00344041-02                                 | SARS-CoV2 3CL Protease |     17.86     |
| 1779 |                                 NCGC00538141-01                                 | SARS-CoV2 3CL Protease |     17.87     |
| 1780 |                                 NCGC00179898-02                                 | SARS-CoV2 3CL Protease |     17.88     |
| 1781 |                                 NCGC00168853-03                                 | SARS-CoV2 3CL Protease |     17.88     |
| 1782 |                                 NCGC00384683-01                                 | SARS-CoV2 3CL Protease |     17.88     |
| 1783 |                                 NCGC00188442-01                                 | SARS-CoV2 3CL Protease |     17.92     |
| 1784 |                                 NCGC00389431-01                                 | SARS-CoV2 3CL Protease |     17.94     |
| 1785 |                                 NCGC00522039-01                                 | SARS-CoV2 3CL Protease |     18.01     |
| 1786 |                                 NCGC00188864-02                                 | SARS-CoV2 3CL Protease |     18.03     |
| 1787 |                                 NCGC00379138-01                                 | SARS-CoV2 3CL Protease |     18.05     |
| 1788 |                 NCGC00351603-10&NCGC00351603-13&NCGC00351603-15                 | SARS-CoV2 3CL Protease |     18.06     |
| 1789 |                                 NCGC00386734-01                                 | SARS-CoV2 3CL Protease |     18.09     |
| 1790 |                                 NCGC00381419-01                                 | SARS-CoV2 3CL Protease |     18.10     |
| 1791 |                                 NCGC00370976-03                                 | SARS-CoV2 3CL Protease |     18.13     |
| 1792 |                 NCGC00095099-05&NCGC00095099-11&NCGC00260784-01                 | SARS-CoV2 3CL Protease |     18.13     |
| 1793 |                                 NCGC00253611-01                                 | SARS-CoV2 3CL Protease |     18.13     |
| 1794 |                                 NCGC00262957-01                                 | SARS-CoV2 3CL Protease |     18.16     |
| 1795 |                                 NCGC00485412-01                                 | SARS-CoV2 3CL Protease |     18.18     |
| 1796 |                                 NCGC00482878-01                                 | SARS-CoV2 3CL Protease |     18.23     |
| 1797 |                         NCGC00168108-05&NCGC00168108-06                         | SARS-CoV2 3CL Protease |     18.25     |
| 1798 |                                 NCGC00389470-01                                 | SARS-CoV2 3CL Protease |     18.26     |
| 1799 |                                 NCGC00386273-01                                 | SARS-CoV2 3CL Protease |     18.26     |
| 1800 |                                 NCGC00346736-01                                 | SARS-CoV2 3CL Protease |     18.30     |
| 1801 |                                 NCGC00485958-01                                 | SARS-CoV2 3CL Protease |     18.31     |
| 1802 |                                 NCGC00247785-11                                 | SARS-CoV2 3CL Protease |     18.33     |
| 1803 |                                 NCGC00179780-02                                 | SARS-CoV2 3CL Protease |     18.34     |
| 1804 |                                 NCGC00378893-04                                 | SARS-CoV2 3CL Protease |     18.35     |
| 1805 |                                 NCGC00384995-01                                 | SARS-CoV2 3CL Protease |     18.36     |
| 1806 |                                 NCGC00385577-02                                 | SARS-CoV2 3CL Protease |     18.41     |
| 1807 |                                 NCGC00390644-02                                 | SARS-CoV2 3CL Protease |     18.41     |
| 1808 |                         NCGC00387215-01&NCGC00387215-02                         | SARS-CoV2 3CL Protease |     18.43     |
| 1809 |                                 NCGC00016672-07                                 | SARS-CoV2 3CL Protease |     18.46     |
| 1810 |                                 NCGC00344528-01                                 | SARS-CoV2 3CL Protease |     18.48     |
| 1811 |                 NCGC00247735-02&NCGC00247735-03&NCGC00260732-01                 | SARS-CoV2 3CL Protease |     18.49     |
| 1812 |                                 NCGC00274272-01                                 | SARS-CoV2 3CL Protease |     18.49     |
| 1813 |                                 NCGC00485216-01                                 | SARS-CoV2 3CL Protease |     18.51     |
