+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
|  67  |                                 NCGC00380312-01                                 | SARS-CoV2 3CL Protease |      1.04     |
|  68  |                                 NCGC00385055-01                                 | SARS-CoV2 3CL Protease |      1.04     |
|  69  |                                 NCGC00402237-03                                 | SARS-CoV2 3CL Protease |      1.04     |
|  70  |                                 NCGC00480913-01                                 | SARS-CoV2 3CL Protease |      1.05     |
|  71  |                                 NCGC00347533-02                                 | SARS-CoV2 3CL Protease |      1.05     |
|  72  |                                 NCGC00378959-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  73  |                                 NCGC00263110-02                                 | SARS-CoV2 3CL Protease |      1.06     |
|  74  |                                 NCGC00380508-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  75  |                                 NCGC00380573-01                                 | SARS-CoV2 3CL Protease |      1.06     |
|  76  |         NCGC00346716-02&NCGC00346716-03&NCGC00346716-14&NCGC00346716-20         | SARS-CoV2 3CL Protease |      1.06     |
|  77  |                                 NCGC00165772-06                                 | SARS-CoV2 3CL Protease |      1.07     |
|  78  |                                 NCGC00380509-01                                 | SARS-CoV2 3CL Protease |      1.07     |
|  79  |                         NCGC00165791-03&NCGC00165791-04                         | SARS-CoV2 3CL Protease |      1.07     |
|  80  |                         NCGC00381558-03&NCGC00381558-06                         | SARS-CoV2 3CL Protease |      1.07     |
|  81  |                         NCGC00345798-03&NCGC00345798-06                         | SARS-CoV2 3CL Protease |      1.09     |
|  82  |                                 NCGC00378820-01                                 | SARS-CoV2 3CL Protease |      1.10     |
|  83  |                                 NCGC00181009-02                                 | SARS-CoV2 3CL Protease |      1.11     |
|  84  |                                 NCGC00261057-01                                 | SARS-CoV2 3CL Protease |      1.12     |
|  85  |                                 NCGC00347396-02                                 | SARS-CoV2 3CL Protease |      1.12     |
|  86  |                                 NCGC00347608-02                                 | SARS-CoV2 3CL Protease |      1.12     |
|  87  |                                 NCGC00092350-02                                 | SARS-CoV2 3CL Protease |      1.13     |
|  88  |                                 NCGC00381230-01                                 | SARS-CoV2 3CL Protease |      1.15     |
|  89  |                                 NCGC00380697-01                                 | SARS-CoV2 3CL Protease |      1.15     |
|  90  |                                 NCGC00016622-11                                 | SARS-CoV2 3CL Protease |      1.16     |
|  91  |                                 NCGC00380311-01                                 | SARS-CoV2 3CL Protease |      1.16     |
|  92  |                                 NCGC00016227-08                                 | SARS-CoV2 3CL Protease |      1.16     |
|  93  |                                 NCGC00386357-01                                 | SARS-CoV2 3CL Protease |      1.17     |
|  94  |                                 NCGC00166140-02                                 | SARS-CoV2 3CL Protease |      1.17     |
|  95  |                 NCGC00263129-08&NCGC00263129-21&NCGC00263129-31                 | SARS-CoV2 3CL Protease |      1.17     |
|  96  |                         NCGC00167958-03&NCGC00167958-05                         | SARS-CoV2 3CL Protease |      1.18     |
|  97  |                                 NCGC00347665-02                                 | SARS-CoV2 3CL Protease |      1.18     |
|  98  |                                 NCGC00384613-01                                 | SARS-CoV2 3CL Protease |      1.19     |
|  99  |                         NCGC00345792-02&NCGC00345792-04                         | SARS-CoV2 3CL Protease |      1.19     |
| 100  |                                 NCGC00370900-01                                 | SARS-CoV2 3CL Protease |      1.19     |
| 101  |                                 NCGC00015627-04                                 | SARS-CoV2 3CL Protease |      1.20     |
| 102  |                                 NCGC00016935-06                                 | SARS-CoV2 3CL Protease |      1.20     |
| 103  |                                 NCGC00380442-01                                 | SARS-CoV2 3CL Protease |      1.21     |
| 104  |                                 NCGC00380287-01                                 | SARS-CoV2 3CL Protease |      1.21     |
| 105  |                                 NCGC00483926-01                                 | SARS-CoV2 3CL Protease |      1.22     |
| 106  |                                 NCGC00168854-02                                 | SARS-CoV2 3CL Protease |      1.22     |
| 107  |                                 NCGC00094321-03                                 | SARS-CoV2 3CL Protease |      1.24     |
| 108  |                                 NCGC00370844-01                                 | SARS-CoV2 3CL Protease |      1.25     |
| 109  |                                 NCGC00261823-01                                 | SARS-CoV2 3CL Protease |      1.25     |
| 110  |                                 NCGC00385607-01                                 | SARS-CoV2 3CL Protease |      1.25     |
| 111  |                                 NCGC00380715-01                                 | SARS-CoV2 3CL Protease |      1.25     |
| 112  |                                 NCGC00384808-01                                 | SARS-CoV2 3CL Protease |      1.25     |
| 113  |                         NCGC00015964-11&NCGC00015964-17                         | SARS-CoV2 3CL Protease |      1.25     |
| 114  |                                 NCGC00390451-01                                 | SARS-CoV2 3CL Protease |      1.26     |
| 115  |                                 NCGC00160567-01                                 | SARS-CoV2 3CL Protease |      1.27     |
| 116  |                                 NCGC00385754-01                                 | SARS-CoV2 3CL Protease |      1.27     |
| 117  |                                 NCGC00532503-01                                 | SARS-CoV2 3CL Protease |      1.27     |
| 118  |                                 NCGC00480771-01                                 | SARS-CoV2 3CL Protease |      1.27     |
| 119  |                                 NCGC00380711-01                                 | SARS-CoV2 3CL Protease |      1.28     |
| 120  |                                 NCGC00370822-01                                 | SARS-CoV2 3CL Protease |      1.28     |
| 121  |                                 NCGC00346740-02                                 | SARS-CoV2 3CL Protease |      1.29     |
| 122  |                                 NCGC00167442-03                                 | SARS-CoV2 3CL Protease |      1.29     |
| 123  |                         NCGC00162385-04&NCGC00261955-01                         | SARS-CoV2 3CL Protease |      1.29     |
| 124  |                                 NCGC00178896-05                                 | SARS-CoV2 3CL Protease |      1.29     |
| 125  |                                 NCGC00380727-01                                 | SARS-CoV2 3CL Protease |      1.29     |
| 126  |                                 NCGC00015177-11                                 | SARS-CoV2 3CL Protease |      1.30     |
| 127  |                                 NCGC00479218-01                                 | SARS-CoV2 3CL Protease |      1.31     |
| 128  |                                 NCGC00389216-01                                 | SARS-CoV2 3CL Protease |      1.31     |
| 129  |                                 NCGC00346695-02                                 | SARS-CoV2 3CL Protease |      1.31     |
| 130  |                                 NCGC00378720-01                                 | SARS-CoV2 3CL Protease |      1.31     |
| 131  |                                 NCGC00385645-01                                 | SARS-CoV2 3CL Protease |      1.31     |
| 132  |                                 NCGC00485980-01                                 | SARS-CoV2 3CL Protease |      1.33     |
| 133  |                                 NCGC00346481-02                                 | SARS-CoV2 3CL Protease |      1.33     |
| 134  |                 NCGC00015467-16&NCGC00015467-20&NCGC00015467-36                 | SARS-CoV2 3CL Protease |      1.33     |
| 135  |                         NCGC00164543-02&NCGC00164543-04                         | SARS-CoV2 3CL Protease |      1.34     |
| 136  |                                 NCGC00485267-01                                 | SARS-CoV2 3CL Protease |      1.34     |
| 137  |                                 NCGC00095056-04                                 | SARS-CoV2 3CL Protease |      1.34     |
| 138  |                                 NCGC00531792-01                                 | SARS-CoV2 3CL Protease |      1.34     |
| 139  |                                 NCGC00385045-01                                 | SARS-CoV2 3CL Protease |      1.34     |
| 140  |                                 NCGC00380155-01                                 | SARS-CoV2 3CL Protease |      1.35     |
| 141  |                                 NCGC00378857-02                                 | SARS-CoV2 3CL Protease |      1.35     |
| 142  |                                 NCGC00386554-01                                 | SARS-CoV2 3CL Protease |      1.36     |
| 143  |                                 NCGC00249915-01                                 | SARS-CoV2 3CL Protease |      1.36     |
| 144  |                         NCGC00386347-01&NCGC00386347-02                         | SARS-CoV2 3CL Protease |      1.36     |
| 145  |                                 NCGC00386183-01                                 | SARS-CoV2 3CL Protease |      1.37     |
| 146  |                         NCGC00346666-01&NCGC00346666-03                         | SARS-CoV2 3CL Protease |      1.37     |
| 147  |                                 NCGC00385074-01                                 | SARS-CoV2 3CL Protease |      1.37     |
| 148  |                                 NCGC00159340-05                                 | SARS-CoV2 3CL Protease |      1.37     |
| 149  |                                 NCGC00380718-01                                 | SARS-CoV2 3CL Protease |      1.38     |
| 150  |                                 NCGC00408812-01                                 | SARS-CoV2 3CL Protease |      1.38     |
| 151  |                                 NCGC00095123-10                                 | SARS-CoV2 3CL Protease |      1.40     |
| 152  |                                 NCGC00378837-01                                 | SARS-CoV2 3CL Protease |      1.40     |
| 153  |                                 NCGC00390699-04                                 | SARS-CoV2 3CL Protease |      1.40     |
| 154  |                                 NCGC00162369-03                                 | SARS-CoV2 3CL Protease |      1.41     |
| 155  |                         NCGC00351607-02&NCGC00351607-06                         | SARS-CoV2 3CL Protease |      1.42     |
| 156  |                 NCGC00016060-08&NCGC00016060-11&NCGC00016060-14                 | SARS-CoV2 3CL Protease |      1.42     |
| 157  |                                 NCGC00016001-06                                 | SARS-CoV2 3CL Protease |      1.42     |
| 158  |                                 NCGC00347934-09                                 | SARS-CoV2 3CL Protease |      1.42     |
| 159  |                                 NCGC00380254-01                                 | SARS-CoV2 3CL Protease |      1.43     |
